Id,Partition,Code,Description,Type,Extra,Shop,ShopExtra,Brand,BrandType,,,,,
,Public,218AB17,Roots Blower,Blower,1,RMA,,,,,,,,
,Public,218AB18,Roots Blower,Blower,1,RMA,,,,,,,,
,Public,218AB19,Roots Blower,Blower,1,RMA,,,,,,,,
,Public,228AB17,Roots Blower,Blower,1,RMB,,,,,,,,
,Public,228AB18,Roots Blower,Blower,1,RMB,,,,,,,,
,Public,312AB14,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB15,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB16,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB17,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB31,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB32,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB33,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB34,Rotary Piston Blower,Blower,1,Homo,,,,,,,,
,Public,312AB43,Turbo Blower,Blower,1,Homo,,,,,,,,
,Public,312AB46,Roots Blower,Blower,1,Kiln1,,,,,,,,
,Public,312AB47,Roots Blower,Blower,1,Kiln1,,,,,,,,
,Public,312AB58,Roots Blower,Blower,1,Kiln1,,,,,,,,
,Public,312AB59,Roots Blower,Blower,1,Kiln1,,,,,,,,
,Public,312AB60,Roots Blower,Blower,1,Kiln1,,,,,,,,
,Public,312AB61,Roots Blower,Blower,1,Kiln1,,,,,,,,
,Public,315AB55,Preh.Emergency Stack Cap,Blower,1,Kiln1,,,,,,,,
,Public,322AB17,FEED BIN FLUIDISATION AIR BOOSTER,Blower,2,Kiln2,,,,,,,,
,Public,325AB41,DUST BIN FLUIDISATION AIR BOOSTER,Blower,2,Kiln2,,,,,,,,
,Public,331AB31,FLUIDIZATION SILO BOOSTER,Blower,2,Kiln2,,,,,,,,
,Public,331AB32,FLUIDIZATION SILO BOOSTER (STAND BY),Blower,2,Kiln2,,,,,,,,
,Public,331AB33,FLUIDIZATION SILO BOOSTER,Blower,2,Kiln2,,,,,,,,
,Public,501AB07,Roots Blower (Silo A),Blower,1,Packing,,,,,,,,
,Public,501AB09,Roots Blower (Silo A),Blower,1,Packing,,,,,,,,
,Public,501AB21,Roots Blower (Silo B),Blower,1,Packing,,,,,,,,
,Public,501AB23,Roots Blower (Silo B),Blower,1,Packing,,,,,,,,
,Public,501AB35,Roots Blower (Silo C),Blower,1,Packing,,,,,,,,
,Public,501AB37,Roots Blower (Silo C),Blower,1,Packing,,,,,,,,
,Public,501AB49,Roots Blower (Silod),Blower,1,Packing,,,,,,,,
,Public,501AB51,Roots Blower (Silod),Blower,1,Packing,,,,,,,,
,Public,502AB17,Roots Blower (Silo A),Blower,1,Packing,,,,,,,,
,Public,502AB39,Roots Blower (Silo B),Blower,1,Packing,,,,,,,,
,Public,502AB61,Roots Blower (Silo C),Blower,1,Packing,,,,,,,,
,Public,502AB83,Roots Blower (Silo D),Blower,1,Packing,,,,,,,,
,Public,624AB09,Blower,Blower,2,Coal2,,,,,,,,
,Public,624AB11,Blower,Blower,2,Coal2,,,,,,,,
,Public,624AB27,Blower,Blower,2,Coal2,,,,,,,,
,Public,624AB29,Blower,Blower,2,Coal2,,,,,,,,
,Public,418AE07,Turbo Blower,Valve,1,CMA,,,,,,,,
,Public,428AE07,Turbo Blower,Valve,1,CMB,,,,,,,,
,Public,501AE11,Pneumatic Cut Off Valve  Limit Switch Open,Valve,1,Packing,,,,,,,,
,Public,501AE25,Pneumatic Cut Off Valve  Limit Switch Open,Valve,1,Packing,,,,,,,,
,Public,501AE39,Pneumatic Cut Off Valve  Limit Switch Open,Valve,1,Packing,,,,,,,,
,Public,501AE53,Pneumatic Cut Off Valve  Limit Switch Open,Valve,1,Packing,,,,,,,,
,Public,10BAF15,Paddle Wheel For Apron Feeder,Apron Conveyor,1,RMA,,,,,,,,
,Public,114AF03,Limestone Apron Feeder,Apron Conveyor,1,Crusher,,,,,,,,
,Public,115AF13,Apron Feeder For Limestone,Apron Conveyor,1,RMA,,,,,,,,
,Public,115AF15,Apron Feeder ,Apron Conveyor,1,RMA,,,,,,,,
,Public,115AF17,Apron Feeder,Apron Conveyor,1,RMA,,,,,,,,
,Public,164AF03,Apron Feeder New Clay Crusher,Apron Conveyor,1,Crusher,,,,,,,,
