Code,Description1,Description2,OnHand,Value
1420401145,ULTRAMAT 23 230V 50HZ 60VA,P/N:7MB2338-0AK10-3NW1 M&C,1,"115,392"
1300114508,FLOW CONTROL VALVE.PN.EDELLE2P,FOR CALCINER GAS VALVE TRAIN,1,"107,044"
1420401187,"RECEIVER CHAMBER 1 SOX,C79451-A3468-B523",F/ULTRAMAT 23-GAS ANALYZER,6,"100,556"
1400103005,"MOTOR 22KW,440V,100/1000RPM","TYPE:GNR200S 42F,IM1001,IP54",1,"99,974"
1300114509,FLOW CONTROL VALVE PN.EDELLE2P,GAS VALVE TRAIN OF AUX. BURNER,1,"88,399"
1400115107,MOTOR 3.7KW 380V 1400/9.3RPM,TYPE:9/2RN-100L/4D,1,"85,847"
1400101363,MOTOR 132KW 1487RPM 400VAC,"TYPE:M3BP315SMB4B3     ,ABB",1,"77,325"
1400115052,MOTOR 5.5KW 380V 1450RPM 11.5A,"TYPE:MLA6133H,FRAM132S",1,"64,839"
1420401171,"OPTICAL FILTER - SOX,P/N:C75285-Z1302-A4",F/ULTRAMAT 23-GAS ANALYZER,6,"53,020"
1300308005,COMPRESSOR MODEL 06ET299620,LRA345,1,"49,593"
1410112035,COMPUTING UNIT,TYPE:SPLRSPLR-100xB/NPR/AZER,1,"39,005"
1400101339,MOTOR 90KW 380V 1500RPM 3PH,TYPE:M3BP280SMB4 ABB,1,"37,000"
1400618089,GASKET F/SUPPORTING INSULATOR,"3280-7,ITEM:70,MAT:190.000.419",6,"36,579"
1420300157,FLOW METER ELECTROMAGNETIC DN65 PN40,TYPE:LECHLER P/N:9ET.018.65.40.00.0,1,"30,481"
1420300156,FLOW METER ELECTROMAGNETIC DN80 PN40,TYPE:LECHLER P/N:9ET.018.80.40.02.0,1,"30,019"
1420100043,FLAME DETECTOR SENSOR,"DUARG,TYPE D-LE603UA-P",2,"27,982"
1400305012,WELIDNG CABLE 1X70MM2,FLEXIABLE,500,"27,500"
1300308012,COMPRESSOR MOD NO.06EA 575600,MF/ NO6EACCD1B2D41,1,"25,882"
1420401174,"GAS FILTER 1-SOX,P/N:C79451-A3458-B508",F/ULTRAMAT 23-GAS ANALYZER,6,"24,424"
1300127510,SHUTOFF VALVE.W/SOLENOID VALVE,P/NO.APORIA-F/GAS VALVE TRAIN,1,"23,259"
1300308004,COMPRESSOR MOD NO.06ET265620,LRA223 400V 50HZ F/CENTRAL AIR,1,"22,353"
1410501457,"DIOE EXPANSION MODULE MK4,P/N:1900071071",F/L2 COAL MILL COMPRESSOR 610CM05,1,"19,000"
1600313004,EXTENDER OF OPERATOR SCREENS,ROSE ELECTRONIC TYPE:CRV-MRU2V,2,"18,476"
1300114504,THERMOSTATICALLY VALVE,LUBRICATION UNIT FREE SIDE,1,"17,751"
1400503551,FLAME RELAY (IONY) P/NO.EEQ10,FOR CALCINER IGNITOR,1,"16,872"
1400503744,FLAME RELAY (IONY),FOR KILN IGNITOR.P/NO.AEQ10,1,"16,872"
1400503234,SWITCH LEVEL DETECTER,TYPE:PE13 BTESGDG,1,"15,942"
1300123501,FLOWMETER.NO 46,REGULATION BOX FOR 1ST CHAMBER,1,"15,879"
1300123502,FLOWMETER.NO53,REGULATION BOX FOR 2ND CHAMBER,1,"15,879"
1420200158,MULTI CAP LEVEL PROBE ROD DC16,"L1=250MM,L2=100MM 1135VA E+H",1,"15,782"
1600313005,EXTENDER OF OPERATOR SCREENS,ROSE ELECTRONICTYPE:CRV-MDLU2V,2,"14,400"
1420500514,PRESSURE TRANSMITTER,P/NO.EJA-F/GAS VALVE TRAIN,1,"14,076"
1410501421,"SENSOR PRESSURE,P/N:1089962513",F/L1 COAL MILL COMPRESSOR 610 CM01/03,2,"9,405"
1300302228,PRESS TRANSDUCER 1089-0575-54,F/GA55 COMPRESSOR,3,"9,000"
1420300505,TEMPERATURE TRANSMITTER,FOR CALCINER GAS VALVE TRAIN,1,"8,538"
1400503763,POWER FACTOR CONTROLLER,7 STEPS,1,"8,498"
1400503755,LOW PRESSURE SWITCH,P/NO.FB-FOR GAS VALVE TRAIN,1,"7,504"
1400503569,LOW PRESSURE SWITCH.P/NO.FB,GAS VALVE TRAIN OF AUX. BURNER,1,"7,504"
1400503756,LOW PRESSURE SWITCH.P/NO.FB,FOR CALCINER GAS VALVE TRAIN,1,"7,504"
1410113045,"MICRO MASTER DRIVE,S/N:XAV720-003073","TYPE:6SE6420-2UD21-5AA1,F/CLAY WEIGH FEEDERS A/B",1,"7,387"
1400605441,"CONTACT BLOCK 1NO+1NC,P/N:1089941509",F/COMPRESSORS GA 250W AIF 120919 & APF 142231,2,"6,600"
1410501073,"SENSOR F/CO2,TYPE:CO2-5-IR2",S.N: A13-872583-001,1,"6,250"
