Id,Partition,Code,Description,Brand,BrandType,ExtraData,SupplyPanel,supplyPanelLoc,Power,Frequency,Poles,Volt,Current,RPM,CosPhi,Effeciency,Mounting,FrameSize,Cooling,Duty,ThermalClass,IP,BearingDE,BearingNDE,GreaseBrand,GreaseBrandType,IntervalDays,QtyDE,QtyNDE,Weight
,Public,236MV15MT10,RMC Main motor,ABB,AML 630L6A BAM,"Torque: 55713 , Moment :576 , Noise: 90 , Maximum stalling time 3.0 / 2.0 s (cold/warm)
Number of consec. starts 3 / 2 (cold/warm)
Warm-up time constant 44 min
Cool-down time constant 118 min",,,2600,50,0,11000,369,994,0.85,97.1,IM 1002,,IC 81W,S1,F ttemp rise B,55,,,Shell,ALVANIA R2/R3,90,220,130,18490
,Public,436MB10MT10,CMC main drive,ABB,AML 710L6L BAM,,,,5800,50,6,11000,369,994,0.85,97.1,IM 1002,,IC 81W,S1,F ttemp rise B,55,6044 MC3 + NU 244 C3,NU 244 C3,Shell,ALVANIA R2/R3,90,220,130,18490
,Public,216DR27MT10,Raw Mill Drive MV Motor,TOSHIBA,,2512A.01,MVD401,HC-1,2800,0,0,11000,0,1000,0,0,,,,,,44,,,,,0,0,0,0
,Public,226DR27MT10,Raw Mill Drive MV Motor,TOSHIBA,,2512B.01,MVD402,HS-1,2800,0,0,11000,0,1000,0,0,,,,,,44,,,,,0,0,0,0
,Public,334FA01MT10,ID FA MOTOR,SIEMENS,,,,,2200,0,0,3300,0,0,0,0,,,,,,0,,,Shell,ALVANIA R3,180,60,60,0
,Public,114CR05MT10,Crusher For Limestone,TOSHIBA,,2103A.01,MVD101,HC-5,1600,0,6,11000,0,1000,0,0,B3,,A-4-S,,F Temp rise B,44,NU 230 C3,6234/C3,Shell,ALVANIA R3,90,120,90,10500
,Public,553SC12MR10,SCREW,,,,500MC09,B-50.3,1430,0,0,400,4.9,0,0,0,,,,,,0,,,,,0,0,0,0
,Public,553SC13MT10,SCREW CONVEYOR,,,,500MC09,C-0.3,1430,0,0,400,6.1,0,0,0,,,,,,0,,,,,0,0,0,0
,Public,5A3SC12MR10,SCREW,,,,500MC09,B-18.3,1430,0,0,400,4.9,0,0,0,,,,,,0,,,,,0,0,0,0
,Public,5A3SC13MT10,SCREW CONVEYOR,,,,500MC09,C-0.1,1430,0,0,400,6.1,0,0,0,,,,,,0,,,,,0,0,0,0
,Public,552BE05MR10,ELEVATOR AUXILIARY DRIVE,,,,500MC09,C-42.1,1400,0,0,400,1.96,0,0,0,,,,,,0,,,,,0,0,0,0
,Public,216FA57MT10,Exhaust Fan Main Motor,,,2526A.01,MVD401,HC-2,1000,0,0,11000,0,1000,0,0,,,,,,44,NU 230/ C3,6230 /C3,Shell,ALVANIA R3,120,90,90,8600
,Public,226FA57MT10,Exhaust Fan MV Motor,,,2526B.01,MVD402,HS-2,1000,0,0,11000,0,1000,0,0,,,,,,44,NU 230/ C3,6230 /C3,Shell,ALVANIA R3,120,90,90,8600
,Public,334FA30MT10,FINAL FAN MOTOR,ABB,AMK 500L6A BAM,,,,800,50,0,11000,0,0,0,0,,,,,,55,6330 C3,6330 C3,Shell,ALVANIA R2/R3,180,100,100,0
,Public,436FA20MT10,EXHAUST FAN MOTOR,SIEMENS,,,,,790,50,6,690,820,0,0.84,95.8,IM B3,,IC 611,S1,F temp rise B,55,NU1028+6028C3,NU1026,Shell,ALVANIA R3,180,40,40,5200
,Public,325FA09MT10,BY PASS FAN,,,,,,780,0,0,690,0,0,0,0,,,,,,0,6226 C3VL0241,6226/C3,Shell,ALVANIA R3,120,20,20,0
