Id,Partition,Code,Description,Brand,BrandType,InstrumentType,SignalType,SupplyVoltage,Wiring,Communication,GalvanicIsolation,OperationalUnit,ScaleRange,LimitHH,LimitH,LimitL,LimitLL,Softawre,ExtraData
,Public,322VA31YZ10,Kiln Feed Gate Position,KINETROL,PN:22D000X03404 ,Positioner,4…20mA,230V,4-wire,,,%,0-100,0,0,85,100,,
,Public,323BD09YP10,Smoke Chamber Gas Pressure,E&H,Cerabar S PMC71-AAA1E3GHAAU,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,-200,-200,-200,-15,-10,,
,Public,323BD09YT20,Smoke box Temperature,SIEMENS ,SITRANCE TF/ TC TYPE K,Pressure Transmitter,4…20mA,24V,2-wire,,,°C,0-1200,750,850,1180,1200,,
,Public,323CA07YT10,Cone Precalciner Temperature 1,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,0,800,1200,,
,Public,323CA07YT11,Cone Precalciner Temperature 2,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,0,200,1200,,
,Public,323CA07YT12,Cone Precalciner Temperature 3,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,0,200,1200,,
,Public,323CA07YT13,Cone Precalciner Temperature 4,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,0,800,1200,,
,Public,323CA07YT14,Cone Precalciner Temperature 5,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,0,200,1200,,
,Public,323CA07YT15,Cone Precalciner Temperature 6,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,0,800,1200,,
,Public,323CA07YT20,Precalciner Temperature Head Chamber 1,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,0,900,1200,,
,Public,323CA07YT21,Precalciner Temperature Head Chamber 2,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,0,904,1200,,
,Public,323CA07YT30,Precalciner Temperature Bottom Chamber 1 ,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,0,900,1200,,
,Public,323CA07YT31,Precalciner Temperature Bottom Chamber 2,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,0,900,1200,,
,Public,323CA07YT41,Precalciner Cone Cooling Air Outlet Temperature,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,25,85,1200,,
,Public,323CY01YP10,Gas Pressure Outlet Cyclone 1A,E&H,Deltabar S PMD70,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,-900,-800,-800,-200,0,,
,Public,323CY01YP11,Pressure At Cyclone 1A (clogging control),E&H,Cerabar S PMC71-AAA1E3GHAAU,Pressure Transmitter,4…20mA,24V,2-wire,,,daPa,-800,-800,-800,-200,0,,
,Public,323CY01YP12,Pressure At Cyclone 1B (clogging control),E&H,Cerabar S PMC71-AAA1E3GHAAU,Pressure Transmitter,4…20mA,24V,2-wire,,,daPa,-800,-800,-800,-200,0,,
,Public,323CY01YP13,Gas Pressure Outlet Cyclone 1B,E&H,Deltabar S PMD71,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,-900,-800,-800,-200,0,,
,Public,323CY01YT10,Gas Temperature Outlet Cyclone 1A,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-500,0,0,400,500,,
,Public,323CY01YT11,Gas Temperature Outlet Cyclone 1B,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-500,0,0,400,500,,
,Public,323CY02YP10,Gas Pressure Outlet Cyclone 2,E&H,Deltabar S PMD72,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,-900,-800,-800,-200,0,,
,Public,323CY02YP11,Pressure At Cyclone 2 (clogging control),E&H,Cerabar S PMC71-AAA1E3GHAAU,Pressure Transmitter,4…20mA,24V,2-wire,,,daPa,-700,-700,-700,-140,0,,
,Public,323CY02YT10,Gas Temperature Outlet Cyclone 2,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,0,520,550,,
,Public,323CY03YP10,Gas Pressure Outlet Cyclone 3,E&H,Deltabar S PMD73,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,-900,-800,-800,-200,0,,
,Public,323CY03YP11,Pressure At Cyclone 3 (clogging control),E&H,Cerabar S PMC71-AAA1E3GHAAU,Pressure Transmitter,4…20mA,24V,2-wire,,,daPa,-500,-500,-500,-100,0,,
,Public,323CY03YT10,Gas Temperature Outlet Cyclone 3,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,0,750,800,,
,Public,323CY04YP10,Gas Pressure Outlet Cyclone 4,E&H,Deltabar S PMD74,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,-900,-800,-800,-200,0,,
,Public,323CY04YP11,Pressure At Cyclone 4 (clogging control),E&H,Cerabar S PMC71-AAA1E3GHAAU,Pressure Transmitter,4…20mA,24V,2-wire,,,daPa,-400,-366.4001,-352,-80,0,,
,Public,323CY04YT10,Gas Temperature Outlet Cyclone 4,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,0,800,800,,
,Public,323CY04YT11,Gas Temperature Outlet Cyclone 4 Preca 1-2,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,675.1,850,900,,
,Public,323CY04YT12,Gas Temperature Outlet Cyclone 4 Preca 2-2,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,695,850,900,,
,Public,323CY04YT13,Material Outlet Cyclone 4,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,680,800,900,,
,Public,323CY05YP10,Gas Pressure Outlet Cyclone 5,E&H,Deltabar S PMD75,Pressure Transmitter,4…20mA,24V,2-wire,,,dapa,-900,-800,-800,-200,0,,
,Public,323CY05YP11,Pressure At Cyclone 5 (clogging control),E&H,Cerabar S PMC71-AAA1E3GHAAU,Pressure Transmitter,4…20mA,24V,2-wire,,,daPa,-500,-350,-350,-50,0,,
,Public,323CY05YP12,Pressure At Cyclone 5 (clogging control),E&H,Cerabar S PMC71-AAA1E3GHAAU,Pressure Transmitter,4…20mA,24V,2-wire,,,daPa,-400,-350,-350,-50,0,,
,Public,323CY05YT10,Gas Temperature Outlet Cyclone 5,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,650,700,950,1100,,
,Public,323CY05YT11,Material Temp. Outlet Cyclone 5,SIEMENS ,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,°C,0-1200,0,764,910,1053,,
,Public,323DB15YZ10,Preheater fresh air damper position,ABB, TZIDC,Positioner,4…20mA,230V,4-wire,,,%,0-100,0,0,100,100,,
,Public,323VA01YF10,Precalciner Hevey Oil Fuel Flowrate,E&H,PROMASS 83,Flowmeter,4…20mA,24V,2-wire,,,Kg/h,0-15000,0,0,13000,15000,,
,Public,323VA01YP10,Precalciner Hevey Oil  Inlet Pressure,E&H, CERABAR T PMC131-A11F1A1T,Pressure Transmitter,4…20mA,24V,2-wire,,,bar,0-16,0,0,10,15,,
,Public,323VA01YP20,Precalciner Hevey Oil Fue High Load Line Pressure,E&H, CERABAR T PMC131-A11F1A1T,Pressure Transmitter,4…20mA,24V,2-wire,,,bar,0-16,0,0,8,15,,
,Public,323VA01YP30,Precalciner Hevey Oil Fue  Low Load Line Pressure,E&H, CERABAR T PMC131-A11F1A1T,Pressure Transmitter,4…20mA,24V,2-wire,,,bar,0-16,0,0,8,15,,
,Public,323VA01YT10,Precalciner Hevey Oil Fue Inlet Temperature,E&H,TSM187-ADD/PT100,Thermometer,4…20mA,24V,2-wire,,,°C,-200,-30,-30,100,120,,
,Public,324AG10YF10,Main Stack Flow ,SICK,Flowsick FLSE 100,Flowmeter,4…20mA,230V,4-wire,,,m3,0-1500000,0,0,1000000,1500000,,
,Public,324AG10YP10,Main Stack Pressure ,Noding,P121-4B--311,Pressure Transmitter,4…20mA,230V,4-wire,,,KPa,80-120,80,80,570,600,,
,Public,324AG10YT10,Main Stack Temperature ,SICK,Flowsick FLSE 100,Thermometer,4…20mA,24V,2-wire,,,°C,0-500,0,0,300,500,,
,Public,324AG10YX10,Main Stack O2,SICK,MCS100/FIDOR/GM700),,4…20mA,230V,4-wire,,,%,0-25,0,0,14,15,,
,Public,324AG10YX20,Main Stack NOX,SICK,MCS100/FIDOR/GM700),,4…20mA,230V,4-wire,,,mg/m3,0-2000,0,0,545,600,,
,Public,324AG10YX30,Main Stack H2O,SICK,MCS100/FIDOR/GM700),,4…20mA,230V,4-wire,,,%,0-40,0,0,40,40,,
,Public,324AG10YX40,Main Stack HCL,SICK,MCS100/FIDOR/GM700),,4…20mA,230V,4-wire,,,mg/m3,0-1000,0,0,100,1000,,
,Public,324SN01YF10,1PU6 Flow Red. Agent,SIEMENS ,"SITRANS F M MAG,MAG5000",Flowmeter,4…20mA,24V,4-wire,ProfiBUS,,l/h,0-900,0,0,700,900,,
,Public,324SN01YF11,1PU6 Flow IM1,KOBOLD,DPM 404025,Flowmeter,4…20mA,24V,4-wire,ProfiBUS,,l/h,0-300,15,25,150,200,,
,Public,324SN01YF12,1PU6 Flow IM2,KOBOLD,DPM 404025,Flowmeter,4…20mA,24V,4-wire,ProfiBUS,,l/h,0-300,15,25,150,200,,
,Public,324SN01YF13,1PU6 Flow IM3,KOBOLD,DPM 404025,Flowmeter,4…20mA,24V,4-wire,ProfiBUS,,l/h,0-300,15,25,150,200,,
,Public,324SN01YF14,1PU6 Flow IM4,KOBOLD,DPM 404025,Flowmeter,4…20mA,24V,4-wire,ProfiBUS,,l/h,0-300,15,25,150,300,,
,Public,324SN01YF15,1PU6 Flow IM5,KOBOLD,DPM 404025,Flowmeter,4…20mA,24V,4-wire,ProfiBUS,,l/h,0-300,15,25,150,200,,
